Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AgencyPortal_SmokeTest_WC,Chrome 115.0.0.0,,,2024-04-12 00:40:43,2024-04-12 01:24:44,44m - 0.969s,FAILED
,,,,,,,
Test Cases/Portal_WorkersCompensation/WC_SmokeTest_AllState/Portal_SmokeTest_IAState,Chrome 115.0.0.0,,,2024-04-12 00:40:43,2024-04-12 00:52:31,11m - 47.790s,FAILED
"comment(""Portal Smoke Test"")",Chrome 115.0.0.0,,,2024-04-12 00:40:44,2024-04-12 00:40:44,0.080s,PASSED
"callTestCase(findTestCase(""Portal_Pages/Portal_CommonScreens/Portal_Login""), [""Portal_Username"":Portal_Username, ""Portal_Password"":Portal_Password], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2024-04-12 00:40:44,2024-04-12 00:41:44,59.705s,PASSED
"click(findTestObject(""Object Repository/Portal/Portal_Common_Tab_Quote""))",Chrome 115.0.0.0,,,2024-04-12 00:41:44,2024-04-12 00:41:51,7.522s,PASSED
"comment(""User is able to Initiate the quote successfully"")",Chrome 115.0.0.0,,,2024-04-12 00:41:51,2024-04-12 00:41:51,0.001s,PASSED
"verifyElementText(findTestObject(""Object Repository/Portal/Portal_Quote_Header_NewBusinessDashboard""), ""New Business Dashboard"")",Chrome 115.0.0.0,,,2024-04-12 00:41:51,2024-04-12 00:42:21,30.191s,PASSED
"click(findTestObject(""Object Repository/Portal/Portal_Quote_Title_StartANewBusiness""))",Chrome 115.0.0.0,,,2024-04-12 00:42:21,2024-04-12 00:42:49,27.887s,PASSED
"click(findTestObject(""Object Repository/Portal/Portal_Quote_Dropdown_SelectLineOfBusiness""))",Chrome 115.0.0.0,,,2024-04-12 00:42:49,2024-04-12 00:42:50,0.974s,PASSED
"click(findTestObject(""Object Repository/Portal/Portal_LOB_TypeList_WorkersComp""))",Chrome 115.0.0.0,,,2024-04-12 00:42:50,2024-04-12 00:42:51,0.543s,PASSED
"click(findTestObject(""Object Repository/Portal/Portal_Common_Button_Next""))",Chrome 115.0.0.0,,,2024-04-12 00:42:51,2024-04-12 00:42:53,1.824s,PASSED
"verifyElementText(findTestObject(""Object Repository/Portal/Portal_PreQual_Title_PreQualification""), ""Pre-Qualification"")",Chrome 115.0.0.0,,,2024-04-12 00:42:53,2024-04-12 00:42:54,1.598s,PASSED
"comment(""Prequalification statement should be displayed."")",Chrome 115.0.0.0,,,2024-04-12 00:42:54,2024-04-12 00:42:54,0.003s,PASSED
"click(findTestObject(""Object Repository/Portal/Portal_PreQual_CheckBox_RiskDoesNotHaveAny""))",Chrome 115.0.0.0,,,2024-04-12 00:42:54,2024-04-12 00:42:55,0.388s,PASSED
"click(findTestObject(""Object Repository/Portal/Portal_PreQual_Button_Agree""))",Chrome 115.0.0.0,,,2024-04-12 00:42:55,2024-04-12 00:42:55,0.570s,PASSED
"waitForElementHasAttribute(findTestObject(""Object Repository/Portal/Portal_AccInfo_Header_AccInfo""), ""Step 1: Account Information"", 10)",Chrome 115.0.0.0,,,2024-04-12 00:42:55,2024-04-12 00:43:06,10.988s,PASSED
"verifyElementText(findTestObject(""Object Repository/Portal/Portal_AccInfo_Header_AccInfo""), ""Step 1: Account Information"")",Chrome 115.0.0.0,,,2024-04-12 00:43:06,2024-04-12 00:43:07,0.405s,PASSED
"comment(""User successfully navigated to Account Information screen"")",Chrome 115.0.0.0,,,2024-04-12 00:43:07,2024-04-12 00:43:07,0.004s,PASSED
"click(findTestObject(""Object Repository/Portal/Portal_AccInfo_Dropdown_SearchOrQuoteFor""))",Chrome 115.0.0.0,,,2024-04-12 00:43:07,2024-04-12 00:43:07,0.530s,PASSED
"click(findTestObject(""Object Repository/Portal/Portal_AccInfo_TypeList_Individual""))",Chrome 115.0.0.0,,,2024-04-12 00:43:07,2024-04-12 00:43:08,0.570s,PASSED
"setText(findTestObject(""Object Repository/Portal/Portal_AccInfo_TextBox_FirstName""), ""Auto_FirstName"")",Chrome 115.0.0.0,,,2024-04-12 00:43:08,2024-04-12 00:43:09,1.043s,PASSED
"setText(findTestObject(""Object Repository/Portal/Portal_AccInfo_TextBox_LastName""), ""LastName"" + RandomStringUtils.randomAlphabetic(5))",Chrome 115.0.0.0,,,2024-04-12 00:43:09,2024-04-12 00:43:10,0.903s,PASSED
