Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AgencyPortal_SmokeTest_WC,Chrome 115.0.0.0,,,2024-04-12 02:18:21,2024-04-12 03:05:28,47m - 7.440s,FAILED
,,,,,,,
Test Cases/Portal_WorkersCompensation/WC_SmokeTest_AllState/Portal_SmokeTest_IAState,Chrome 115.0.0.0,,,2024-04-12 02:18:21,2024-04-12 02:28:39,10m - 17.620s,FAILED
"comment(""Portal Smoke Test"")",Chrome 115.0.0.0,,,2024-04-12 02:18:22,2024-04-12 02:18:22,0.123s,PASSED
"callTestCase(findTestCase(""Portal_Pages/Portal_CommonScreens/Portal_Login""), [""Portal_Username"":Portal_Username, ""Portal_Password"":Portal_Password], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2024-04-12 02:18:22,2024-04-12 02:19:31,1m - 8.314s,PASSED
"click(findTestObject(""Object Repository/Portal/Portal_Common_Tab_Quote""))",Chrome 115.0.0.0,,,2024-04-12 02:19:31,2024-04-12 02:19:38,7.163s,PASSED
"comment(""User is able to Initiate the quote successfully"")",Chrome 115.0.0.0,,,2024-04-12 02:19:38,2024-04-12 02:19:38,0.002s,PASSED
"verifyElementText(findTestObject(""Object Repository/Portal/Portal_Quote_Header_NewBusinessDashboard""), ""New Business Dashboard"")",Chrome 115.0.0.0,,,2024-04-12 02:19:38,2024-04-12 02:20:08,30.183s,PASSED
"click(findTestObject(""Object Repository/Portal/Portal_Quote_Title_StartANewBusiness""))",Chrome 115.0.0.0,,,2024-04-12 02:20:08,2024-04-12 02:20:29,21.330s,PASSED
"click(findTestObject(""Object Repository/Portal/Portal_Quote_Dropdown_SelectLineOfBusiness""))",Chrome 115.0.0.0,,,2024-04-12 02:20:29,2024-04-12 02:20:30,0.833s,PASSED
"click(findTestObject(""Object Repository/Portal/Portal_LOB_TypeList_WorkersComp""))",Chrome 115.0.0.0,,,2024-04-12 02:20:30,2024-04-12 02:20:31,0.603s,PASSED
"click(findTestObject(""Object Repository/Portal/Portal_Common_Button_Next""))",Chrome 115.0.0.0,,,2024-04-12 02:20:31,2024-04-12 02:20:33,1.975s,PASSED
"verifyElementText(findTestObject(""Object Repository/Portal/Portal_PreQual_Title_PreQualification""), ""Pre-Qualification"")",Chrome 115.0.0.0,,,2024-04-12 02:20:33,2024-04-12 02:20:35,2.101s,PASSED
"comment(""Prequalification statement should be displayed."")",Chrome 115.0.0.0,,,2024-04-12 02:20:35,2024-04-12 02:20:35,0.004s,PASSED
"click(findTestObject(""Object Repository/Portal/Portal_PreQual_CheckBox_RiskDoesNotHaveAny""))",Chrome 115.0.0.0,,,2024-04-12 02:20:35,2024-04-12 02:20:35,0.450s,PASSED
"click(findTestObject(""Object Repository/Portal/Portal_PreQual_Button_Agree""))",Chrome 115.0.0.0,,,2024-04-12 02:20:35,2024-04-12 02:20:36,0.614s,PASSED
"waitForElementHasAttribute(findTestObject(""Object Repository/Portal/Portal_AccInfo_Header_AccInfo""), ""Step 1: Account Information"", 10)",Chrome 115.0.0.0,,,2024-04-12 02:20:36,2024-04-12 02:20:47,11.216s,PASSED
"verifyElementText(findTestObject(""Object Repository/Portal/Portal_AccInfo_Header_AccInfo""), ""Step 1: Account Information"")",Chrome 115.0.0.0,,,2024-04-12 02:20:47,2024-04-12 02:20:48,0.471s,PASSED
"comment(""User successfully navigated to Account Information screen"")",Chrome 115.0.0.0,,,2024-04-12 02:20:48,2024-04-12 02:20:48,0.003s,PASSED
