Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AgencyPortal_SmokeTest_WC,Chrome 115.0.0.0,,,2024-04-10 08:30:01,2024-04-10 10:09:14,1h - 39m - 12.613s,FAILED
,,,,,,,
Test Cases/Portal_WorkersCompensation/WC_SmokeTest_AllState/Portal_SmokeTest_IAState,Chrome 115.0.0.0,,,2024-04-10 08:30:01,2024-04-10 08:43:35,13m - 33.242s,FAILED
"comment(""Portal Smoke Test"")",Chrome 115.0.0.0,,,2024-04-10 08:30:02,2024-04-10 08:30:02,0.075s,PASSED
"callTestCase(findTestCase(""Portal_Pages/Portal_CommonScreens/Portal_Login""), [""Portal_Username"":Portal_Username, ""Portal_Password"":Portal_Password], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2024-04-10 08:30:02,2024-04-10 08:31:01,58.275s,PASSED
"click(findTestObject(""Object Repository/Portal/Portal_Common_Tab_Quote""))",Chrome 115.0.0.0,,,2024-04-10 08:31:01,2024-04-10 08:31:08,7.114s,PASSED
"comment(""User is able to Initiate the quote successfully"")",Chrome 115.0.0.0,,,2024-04-10 08:31:08,2024-04-10 08:31:08,0.005s,PASSED
"verifyElementText(findTestObject(""Object Repository/Portal/Portal_Quote_Header_NewBusinessDashboard""), ""New Business Dashboard"")",Chrome 115.0.0.0,,,2024-04-10 08:31:08,2024-04-10 08:31:38,30.173s,PASSED
"click(findTestObject(""Object Repository/Portal/Portal_Quote_Title_StartANewBusiness""))",Chrome 115.0.0.0,,,2024-04-10 08:31:38,2024-04-10 08:32:08,30.187s,PASSED
"click(findTestObject(""Object Repository/Portal/Portal_Quote_Dropdown_SelectLineOfBusiness""))",Chrome 115.0.0.0,,,2024-04-10 08:32:08,2024-04-10 08:32:38,30.187s,PASSED
"click(findTestObject(""Object Repository/Portal/Portal_LOB_TypeList_WorkersComp""))",Chrome 115.0.0.0,,,2024-04-10 08:32:38,2024-04-10 08:33:08,30.144s,PASSED
"click(findTestObject(""Object Repository/Portal/Portal_Common_Button_Next""))",Chrome 115.0.0.0,,,2024-04-10 08:33:08,2024-04-10 08:33:40,31.411s,PASSED
"verifyElementText(findTestObject(""Object Repository/Portal/Portal_PreQual_Title_PreQualification""), ""Pre-Qualification"")",Chrome 115.0.0.0,,,2024-04-10 08:33:40,2024-04-10 08:33:42,2.284s,PASSED
"comment(""Prequalification statement should be displayed."")",Chrome 115.0.0.0,,,2024-04-10 08:33:42,2024-04-10 08:33:42,0.002s,PASSED
"click(findTestObject(""Object Repository/Portal/Portal_PreQual_CheckBox_RiskDoesNotHaveAny""))",Chrome 115.0.0.0,,,2024-04-10 08:33:42,2024-04-10 08:33:42,0.394s,PASSED
"click(findTestObject(""Object Repository/Portal/Portal_PreQual_Button_Agree""))",Chrome 115.0.0.0,,,2024-04-10 08:33:42,2024-04-10 08:33:43,0.504s,PASSED
"waitForElementHasAttribute(findTestObject(""Object Repository/Portal/Portal_AccInfo_Header_AccInfo""), ""Step 1: Account Information"", 10)",Chrome 115.0.0.0,,,2024-04-10 08:33:43,2024-04-10 08:33:54,11.061s,PASSED
"verifyElementText(findTestObject(""Object Repository/Portal/Portal_AccInfo_Header_AccInfo""), ""Step 1: Account Information"")",Chrome 115.0.0.0,,,2024-04-10 08:33:54,2024-04-10 08:33:54,0.369s,PASSED
"comment(""User successfully navigated to Account Information screen"")",Chrome 115.0.0.0,,,2024-04-10 08:33:54,2024-04-10 08:33:54,0.002s,PASSED
