Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AgencyPortal_SmokeTest_WC,Chrome 115.0.0.0,,,2024-04-09 13:45:27,2024-04-09 14:36:38,51m - 10.790s,FAILED
,,,,,,,
Test Cases/Portal_WorkersCompensation/WC_SmokeTest_AllState/Portal_SmokeTest_IAState,Chrome 115.0.0.0,,,2024-04-09 13:45:28,2024-04-09 13:58:17,12m - 49.250s,FAILED
"comment(""Portal Smoke Test"")",Chrome 115.0.0.0,,,2024-04-09 13:45:28,2024-04-09 13:45:28,0.074s,PASSED
"callTestCase(findTestCase(""Portal_Pages/Portal_CommonScreens/Portal_Login""), [""Portal_Username"":Portal_Username, ""Portal_Password"":Portal_Password], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2024-04-09 13:45:28,2024-04-09 13:46:43,1m - 15.016s,PASSED
"click(findTestObject(""Object Repository/Portal/Portal_Common_Tab_Quote""))",Chrome 115.0.0.0,,,2024-04-09 13:46:43,2024-04-09 13:46:59,15.197s,PASSED
"comment(""User is able to Initiate the quote successfully"")",Chrome 115.0.0.0,,,2024-04-09 13:46:59,2024-04-09 13:46:59,0.004s,PASSED
"verifyElementText(findTestObject(""Object Repository/Portal/Portal_Quote_Header_NewBusinessDashboard""), ""New Business Dashboard"")",Chrome 115.0.0.0,,,2024-04-09 13:46:59,2024-04-09 13:47:29,30.249s,PASSED
"click(findTestObject(""Object Repository/Portal/Portal_Quote_Title_StartANewBusiness""))",Chrome 115.0.0.0,,,2024-04-09 13:47:29,2024-04-09 13:47:59,30.199s,PASSED
"click(findTestObject(""Object Repository/Portal/Portal_Quote_Dropdown_SelectLineOfBusiness""))",Chrome 115.0.0.0,,,2024-04-09 13:47:59,2024-04-09 13:48:29,30.288s,PASSED
"click(findTestObject(""Object Repository/Portal/Portal_LOB_TypeList_WorkersComp""))",Chrome 115.0.0.0,,,2024-04-09 13:48:29,2024-04-09 13:48:59,30.160s,PASSED
"click(findTestObject(""Object Repository/Portal/Portal_Common_Button_Next""))",Chrome 115.0.0.0,,,2024-04-09 13:48:59,2024-04-09 13:49:31,31.816s,PASSED
"verifyElementText(findTestObject(""Object Repository/Portal/Portal_PreQual_Title_PreQualification""), ""Pre-Qualification"")",Chrome 115.0.0.0,,,2024-04-09 13:49:31,2024-04-09 13:49:34,2.358s,PASSED
"comment(""Prequalification statement should be displayed."")",Chrome 115.0.0.0,,,2024-04-09 13:49:34,2024-04-09 13:49:34,0.002s,PASSED
"click(findTestObject(""Object Repository/Portal/Portal_PreQual_CheckBox_RiskDoesNotHaveAny""))",Chrome 115.0.0.0,,,2024-04-09 13:49:34,2024-04-09 13:49:34,0.452s,PASSED
"click(findTestObject(""Object Repository/Portal/Portal_PreQual_Button_Agree""))",Chrome 115.0.0.0,,,2024-04-09 13:49:34,2024-04-09 13:49:35,0.663s,PASSED
"waitForElementHasAttribute(findTestObject(""Object Repository/Portal/Portal_AccInfo_Header_AccInfo""), ""Step 1: Account Information"", 10)",Chrome 115.0.0.0,,,2024-04-09 13:49:35,2024-04-09 13:49:47,11.756s,PASSED
"verifyElementText(findTestObject(""Object Repository/Portal/Portal_AccInfo_Header_AccInfo""), ""Step 1: Account Information"")",Chrome 115.0.0.0,,,2024-04-09 13:49:47,2024-04-09 13:49:47,0.503s,PASSED
"comment(""User successfully navigated to Account Information screen"")",Chrome 115.0.0.0,,,2024-04-09 13:49:47,2024-04-09 13:49:47,0.001s,PASSED
"click(findTestObject(""Object Repository/Portal/Portal_AccInfo_Dropdown_SearchOrQuoteFor""))",Chrome 115.0.0.0,,,2024-04-09 13:49:47,2024-04-09 13:49:48,0.597s,PASSED
"click(findTestObject(""Object Repository/Portal/Portal_AccInfo_TypeList_Individual""))",Chrome 115.0.0.0,,,2024-04-09 13:49:48,2024-04-09 13:49:48,0.606s,PASSED
"setText(findTestObject(""Object Repository/Portal/Portal_AccInfo_TextBox_FirstName""), ""Auto_FirstName"")",Chrome 115.0.0.0,,,2024-04-09 13:49:48,2024-04-09 13:49:49,1.086s,PASSED
"setText(findTestObject(""Object Repository/Portal/Portal_AccInfo_TextBox_LastName""), ""LastName"" + RandomStringUtils.randomAlphabetic(5))",Chrome 115.0.0.0,,,2024-04-09 13:49:49,2024-04-09 13:49:50,0.978s,PASSED
"setText(findTestObject(""Object Repository/Portal/Portal_AccInfo_TextBox_ZipCode""), ""52246"")",Chrome 115.0.0.0,,,2024-04-09 13:49:50,2024-04-09 13:49:51,0.956s,PASSED
"click(findTestObject(""Object Repository/Portal/Portal_AccInfo_Button_CreateNewAcc""))",Chrome 115.0.0.0,,,2024-04-09 13:49:51,2024-04-09 13:49:52,0.615s,PASSED
"verifyElementText(findTestObject(""Object Repository/Portal/Portal_AccInfo_SubTitle_AddNewAcc""), ""Add a New Account"")",Chrome 115.0.0.0,,,2024-04-09 13:49:52,2024-04-09 13:49:53,1.220s,PASSED
"mouseOver(findTestObject(""Object Repository/Portal/Portal_AccountInfo_Dropdown_ProducerCode""), STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2024-04-09 13:49:53,2024-04-09 13:49:54,0.717s,PASSED
"setText(findTestObject(""Object Repository/Portal/Portal_AccInfo_TextBox_Address""), ""919 Highway 1 W"")",Chrome 115.0.0.0,,,2024-04-09 13:49:54,2024-04-09 13:49:55,1.004s,PASSED
"sendKeys(findTestObject(""Object Repository/Portal/Portal_AccInfo_TextBox_Address""), Keys.chord(SPACE))",Chrome 115.0.0.0,,,2024-04-09 13:49:55,2024-04-09 13:49:56,0.829s,PASSED
"click(findTestObject(""Object Repository/Portal/Portal_AccInfo_TypeList_1stAddress""), OPTIONAL)",Chrome 115.0.0.0,,,2024-04-09 13:49:56,2024-04-09 13:49:56,0.775s,PASSED
waitForPageLoad(10),Chrome 115.0.0.0,,,2024-04-09 13:49:56,2024-04-09 13:49:56,0.017s,PASSED
"mouseOver(findTestObject(""Object Repository/Portal/Portal_AccountInfo_Dropdown_ProducerCode""))",Chrome 115.0.0.0,,,2024-04-09 13:49:56,2024-04-09 13:49:57,0.991s,PASSED
"click(findTestObject(""Object Repository/Portal/Portal_AccountInfo_Dropdown_ProducerCode""))",Chrome 115.0.0.0,,,2024-04-09 13:49:57,2024-04-09 13:49:58,0.510s,PASSED
"mouseOver(findTestObject(""Object Repository/Portal/Portal_AccInfo_TypeList_2059HouseCode""))",Chrome 115.0.0.0,,,2024-04-09 13:49:58,2024-04-09 13:49:59,0.748s,PASSED
"click(findTestObject(""Object Repository/Portal/Portal_AccInfo_TypeList_2059HouseCode""))",Chrome 115.0.0.0,,,2024-04-09 13:49:59,2024-04-09 13:49:59,0.603s,PASSED
"click(findTestObject(""Object Repository/Portal/Portal_AccInfo_Button_AddAccount""))",Chrome 115.0.0.0,,,2024-04-09 13:49:59,2024-04-09 13:50:00,0.602s,PASSED
"click(findTestObject(""Object Repository/Portal/Portal_StandardizeAddress_Button_Continue""))",Chrome 115.0.0.0,,,2024-04-09 13:50:00,2024-04-09 13:50:06,5.999s,PASSED
"AccountNumber = getText(findTestObject(""Portal/Portal_NewAccountCreated_Label_AccountNum""))",Chrome 115.0.0.0,,,2024-04-09 13:50:06,2024-04-09 13:50:10,3.796s,PASSED
"click(findTestObject(""Portal/Portal_NewAccountCreated_Button_Continue""))",Chrome 115.0.0.0,,,2024-04-09 13:50:10,2024-04-09 13:50:10,0.670s,PASSED
"click(findTestObject(""Object Repository/Portal/Portal_PolicyDetails_Dropdown_OrgType""))",Chrome 115.0.0.0,,,2024-04-09 13:50:10,2024-04-09 13:50:21,10.359s,PASSED
"click(findTestObject(""Object Repository/Portal/Portal_PolDetails_OrgType_TypeList_Individual""))",Chrome 115.0.0.0,,,2024-04-09 13:50:21,2024-04-09 13:50:21,0.701s,PASSED
"mouseOver(findTestObject(""Object Repository/Portal/Portal_PolDetails_TextBox_SSN""), STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2024-04-09 13:50:21,2024-04-09 13:50:22,0.681s,PASSED
"click(findTestObject(""Object Repository/Portal/Portal_PolDetails_TextBox_SSN""), STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2024-04-09 13:50:22,2024-04-09 13:50:23,0.558s,PASSED
"sendKeys(findTestObject(""Object Repository/Portal/Portal_PolDetails_TextBox_SSN""), Keys.chord(""123456789""))",Chrome 115.0.0.0,,,2024-04-09 13:50:23,2024-04-09 13:50:23,0.798s,PASSED
"click(findTestObject(""Object Repository/Portal/Portal_PolicyDetails_Button_Save""))",Chrome 115.0.0.0,,,2024-04-09 13:50:23,2024-04-09 13:50:24,0.681s,PASSED
takeFullPageScreenshot(),Chrome 115.0.0.0,,,2024-04-09 13:50:24,2024-04-09 13:50:26,1.631s,PASSED
